Product,Total_Count
Alpro-Blueberry-Soyghurt,61
Alpro-Fresh-Soy-Milk,59
Alpro-Shelf-Soy-Milk,61
Alpro-Vanilla-Soyghurt,47
Apple-Golden-Delicious,97
Apple-Granny-Smith,123
Apple-Pink-Lady,123
Apple-Red-Delicious,102
Apple-Royal-Gala,134
Arla-Ecological-Medium-Fat-Milk,63
Arla-Ecological-Sour-Cream,53
Arla-Lactose-Medium-Fat-Milk,52
Arla-Medium-Fat-Milk,72
Arla-Mild-Vanilla-Yoghurt,61
Arla-Natural-Mild-Low-Fat-Yoghurt,50
Arla-Natural-Yoghurt,84
Arla-Sour-Cream,42
Arla-Sour-Milk,50
Arla-Standard-Milk,65
Asparagus,35
Aubergine,48
Avocado,86
Banana,95
Beef-Tomato,47
Bravo-Apple-Juice,52
Bravo-Orange-Juice,68
Brown-Cap-Mushroom,83
Cabbage,43
Carrots,90
Cucumber,60
Floury-Potato,39
Garant-Ecological-Medium-Fat-Milk,76
Garant-Ecological-Standard-Milk,45
Garlic,51
Ginger,38
God-Morgon-Apple-Juice,43
God-Morgon-Orange-Juice,50
God-Morgon-Orange-Red-Grapefruit-Juice,45
God-Morgon-Red-Grapefruit-Juice,44
Green-Bell-Pepper,52
Kiwi,96
Leek,48
Lemon,88
Lime,66
Mango,66
Melon-Cantaloupe,84
Melon-Galia-Melon,70
Melon-Honeydew-Melon,76
Melon-Watermelon,97
Nectarine,72
Oatly-Natural-Oatghurt,68
Oatly-Oat-Milk,68
Orange,118
Orange-Bell-Pepper,57
Papaya,43
Passion-Fruit,60
Peach,78
Pear-Anjou,77
Pear-Conference,94
Pear-Kaiser,61
Pineapple,56
Plum,45
Pomegranate,56
Red-Beet,40
Red-Bell-Pepper,72
Red-Grapefruit,73
Regular-Tomato,98
Satsumas,143
Solid-Potato,56
Sweet-Potato,61
Tropicana-Apple-Juice,61
Tropicana-Golden-Grapefruit,45
Tropicana-Juice-Smooth,51
Tropicana-Mandarin-Morning,41
Valio-Vanilla-Yoghurt,68
Vine-Tomato,91
Yellow-Bell-Pepper,57
Yellow-Onion,80
Yoggi-Strawberry-Yoghurt,69
Yoggi-Vanilla-Yoghurt,43
Zucchini,64
